	alpha	tau	tau_hat	0_line	1_line	sigma_H	theta_Q	lambda	SCNA_likelihood	Kar_likelihood	SSNVs_likelihood	step_size
0	0.8691390720871637	2.0152392697995496	2.048304377008225	0.13	0.9934210468581595	0.01	1.1720091320839856	100.00000000000004	-201.1409575836517	-19.349573542247313	-822.9485114055362	0.8634210468581595
1	0.42929358122360955	2.0057738165248944	2.0861756537849305	0.57	0.9987622028539558	0.01	1.2481069586786258	100.00000000000004	-211.10694942326688	-19.349573542247313	-978.7014245170727	0.4287622028539559
2	1.0	2.0137527074704766	2.048305275212872	0.0	0.993170607582819	0.01	1.1526643695357064	100.00000000000004	-211.23763082618598	-19.349573542247313	-818.9908084927744	0.993170607582819
3	0.2881548258074934	2.018037781484809	2.1344168981312337	0.71	0.9974078995554059	0.01	1.3779870915783432	100.00000000000004	-216.86847504268368	-19.349573542247313	-1144.7358191433123	0.28740789955540585
4	0.5770433612565207	2.0243989153278683	2.096347462812059	0.42	0.9930095937203802	0.01	1.2052711448167726	100.00000000000004	-219.4300582182147	-19.349573542247313	-865.1244208573148	0.5730095937203802
5	0.7691233916481304	4.017813835400809	4.086154952731229	0.13	0.5630713346320142	0.01	1.0984749532734803	100.00000000000004	-219.93467345255505	-4.617252540802557	-768.7497372528138	0.43307133463201414
6	0.6663694059020101	2.0330201242719026	2.0483014003127886	0.33	0.9891179221503781	0.01	1.1963251446526397	100.00000000000004	-220.6871578828373	-19.349573542247313	-833.1329044400268	0.6591179221503781
7	0.4990735913400742	2.0074250264971005	2.0861497562383593	0.5	0.9981506092633364	0.01	1.2176727570119064	100.00000000000004	-222.63115287251708	-19.349573542247313	-908.5367624854258	0.49815060926333643
8	0.40628313556582696	4.036075562969618	4.1343647071246385	0.42	0.7074078995554058	0.01	1.212017996159835	100.00000000000004	-227.03718486264083	-4.617252540802557	-817.5538989508955	0.28740789955540585
9	1.0	4.014850052994201	4.086138096821789	0.0	0.49815060926333643	0.01	1.071536273583857	100.00000000000004	-230.5300401501819	-4.617252540802557	-758.0951323817335	0.49815060926333643
10	0.3461354826197319	2.034353088040906	2.12112783178004	0.65	0.9940897276461012	0.01	1.29944445545275	100.00000000000004	-230.88316002825493	-19.349573542247313	-1052.7683525619088	0.3440897276461011
11	0.26461036043640385	2.0558033168705925	2.1391858798537413	0.73	0.9926710422969862	0.01	1.3859423151500896	100.00000000000004	-238.86829581851455	-19.349573542247313	-1179.8535439017392	0.26267104229698623
12	0.5004524511468927	4.053263801156674	4.134352343388086	0.33	0.6605977764431731	0.01	1.1591452871400054	100.00000000000004	-243.3304674450819	-4.617252540802557	-774.4930395531019	0.33059777644317306
13	0.2161251973207767	2.0459705374863884	2.1826445427182293	0.78	0.9950568602715899	0.01	1.4814068303142556	100.00000000000004	-245.50216955526506	-19.349573542247313	-1278.6068059541276	0.2150568602715899
14	0.35851156539978724	4.035465770153386	4.13911949721064	0.47	0.7326710422969862	0.01	1.2675017553654584	100.00000000000004	-249.52327736607384	-4.617252540802557	-840.624760718918	0.26267104229698623
15	0.2794816342657552	4.0512255809881905	4.1825898932728816	0.56	0.7772182176499159	0.01	1.358546556124778	100.00000000000004	-256.46088764875935	-4.617252540802557	-913.5196897491356	0.21721821764991592
16	0.20981019235879225	4.055921351728187	4.220387555850725	0.65	0.8225871729987411	0.01	1.3675859718014127	100.00000000000004	-276.46944919732545	-4.617252540802557	-1017.1617246991362	0.172587172998741
17	0.16737277668451206	4.063829046242748	4.2203617640986435	0.71	0.8527225391127721	0.01	1.2952100860056928	100.00000000000004	-296.20063320020023	-4.617252540802557	-1115.312847264738	0.1427225391127721
18	0.1437688110117131	2.1019805411600423	2.2789472628118603	0.85	0.9927225391127721	0.01	1.3503092210095453	100.00000000000004	-299.75533246569324	-19.349573542247313	-1486.76289627375	0.1427225391127721
19	0.12149041364339093	4.0790832411443105	4.220470036012929	0.78	0.8878673746007121	0.01	1.3264856875455606	100.00000000000004	-331.010601605859	-4.617252540802557	-1241.431402468006	0.10786737460071204
20	0.8036492057989004	3.0016949434171836	2.3373612045501293	0.14	0.7130095937203802	0.01	0.6125873583075758	100.00000000000004	-337.4542497572899	-22.842461112721093	-590.5771335934189	0.5730095937203802
21	0.09548740455693826	4.158696034569995	4.225512216095625	0.82	0.9065655958039317	0.01	1.4034469482294316	100.00000000000004	-367.92993834501027	-4.617252540802557	-1321.061819637898	0.08656559580393179
