	alpha	tau	tau_hat	0_line	1_line	sigma_H	theta_Q	lambda	SCNA_likelihood	Kar_likelihood	SSNVs_likelihood	step_size
0	0.9204792031859282	1.986984953482122	1.9964503749877132	0.08	1.006026136622456	0.01	1.158731598845218	100.00000000000004	-186.11708750081812	-19.349573542247313	-508.8026614838184	0.9260261366224561
1	0.37406490468019726	1.9655020849570315	1.9964654245269902	0.63	1.0064941312774935	0.01	1.1577702594835098	100.00000000000004	-188.5651986196697	-19.349573542247313	-1429.803783100267	0.3764941312774936
2	0.7690266255265426	2.0110062845358003	1.9964506093746264	0.23	0.9957857719502241	0.01	1.1530177470153669	100.00000000000004	-189.73713418279402	-19.349573542247313	-580.8256210653636	0.7657857719502241
3	0.481776487713003	1.9858178113206684	1.9965711236956414	0.52	1.0034280337940729	0.01	1.1602658507892238	100.00000000000004	-191.73343784157638	-19.349573542247313	-1067.2705904606337	0.4834280337940729
4	0.5774906074191507	3.9562209147457805	3.992908606004429	0.27	0.6390390479859785	0.01	1.0134947869712367	100.00000000000004	-192.8482835320477	-4.617252540802557	-640.4791200290286	0.36903904798597853
5	0.6117693523259938	1.985168263762699	1.9966395448127743	0.39	1.0045574772022625	0.01	1.1595206196244678	100.00000000000004	-193.08256704862706	-19.349573542247313	-777.7259921861664	0.6145574772022625
6	0.4414586539732825	3.9578608035648943	3.992900983488803	0.39	0.6982473236302629	0.01	1.036506667916001	100.00000000000004	-195.6433647519079	-4.617252540802557	-804.5365796589085	0.3082473236302628
7	0.25366297717082587	1.9614924525796122	1.9964532497314054	0.75	1.0049079397896414	0.01	1.1802767969294645	100.00000000000004	-200.21656623266955	-19.349573542247313	-2025.8223967287877	0.2549079397896415
8	0.8701637326298302	3.9646964991069997	3.9929340462551184	0.07	0.5391405761875954	0.01	1.064274827394671	100.00000000000004	-202.62276467407884	-4.617252540802557	-528.980727418661	0.4691405761875953
9	0.5029524169556348	4.012933152476686	3.9929065485672792	0.33	0.6639203393340813	0.01	1.0339874038796673	100.00000000000004	-206.0090726418087	-4.617252540802557	-716.4183880334381	0.3339203393340814
10	0.7939457785517514	5.9692326873437755	5.989352036196457	0.08	0.3882473236302628	0.01	1.1224714177613542	100.00000000000004	-206.53908086358257	-36.82611058956763	-553.4740274205925	0.3082473236302628
11	0.3180112609654449	3.9591558166207967	3.9929051938057207	0.52	0.7624759328667634	0.01	1.0721823180845667	100.00000000000004	-213.07781259735242	-4.617252540802557	-1089.6954006944047	0.24247593286676336
12	0.4266163669702914	5.983084984339784	5.989375513912014	0.31	0.540650242076125	0.01	1.0606661038017489	100.00000000000004	-220.696304794879	-36.82611058956763	-709.0923025298541	0.23065024207612503
13	0.2106302715679645	1.9924245256352902	1.9966030392365057	0.79	1.0007984491237287	0.01	1.202019077903792	100.00000000000004	-221.93505500278818	-19.349573542247313	-2311.567674632408	0.21079844912372867
14	0.23061934376170576	3.9186520374004985	3.993112279928309	0.63	0.8188404463926047	0.01	1.1125986040968248	100.00000000000004	-253.07127068215334	-4.617252540802557	-1448.136659853013	0.1888404463926047
15	0.10512891556755365	1.8915846312255034	1.998492828480427	0.9	1.0057314574767007	0.01	1.3073277122303404	100.00000000000004	-306.96159497982086	-19.349573542247313	-3287.4956682401603	0.10573145747670074
16	0.13795071342760934	3.9467152250632913	3.994202582058622	0.76	0.881620125250436	0.01	1.1549508963751376	100.00000000000004	-308.760248072064	-4.617252540802557	-2110.9938968143797	0.12162012525043595
17	0.13287329096172698	5.863912356799063	5.990885706696036	0.69	0.7957314574767007	0.01	1.1914005478588001	100.00000000000004	-333.0870318422673	-36.82611058956763	-1724.0321488356324	0.10573145747670074
18	0.33497045417248206	1.7839268295617765	1.9964285872051233	0.69	1.0375478869008903	0.01	1.0462972051465227	100.00000000000004	-386.46261786977163	-19.349573542247313	-1472.8982524233816	0.3475478869008903
