	alpha	tau	tau_hat	0_line	1_line	sigma_H	theta_Q	lambda	SCNA_likelihood	Kar_likelihood	SSNVs_likelihood	step_size
0	1.0	2.0137527074704766	2.0000004159953817	0.0	0.993170607582819	0.01	1.1591992321888849	100.00000000000004	-191.16968585359996	-19.349573542247313	-569.9017452014052	0.993170607582819
1	0.6866126117944875	2.0318288902352113	2.048387892683824	0.31	0.9891910512898783	0.01	1.1440741478132213	100.00000000000004	-199.7173789712909	-19.349573542247313	-533.9326607335801	0.6791910512898782
2	0.4990735913400742	2.0074250264971005	2.04838585459648	0.5	0.9981506092633364	0.01	1.1622860099820567	100.00000000000004	-210.1386865340411	-19.349573542247313	-502.39138518514704	0.49815060926333643
3	0.3438757213189507	2.05479867648391	2.0483900237141976	0.65	0.9906659776508189	0.01	1.1602844005482507	100.00000000000004	-212.88778505968682	-19.349573542247313	-472.6043499518104	0.34066597765081885
4	1.0	4.014850052994201	4.048386641535622	0.0	0.49815060926333643	0.01	1.0265209173248353	100.00000000000004	-217.15205273837645	-4.617252540802557	-502.3674989430202	0.49815060926333643
5	0.5235650692553007	4.050888819353995	4.048389082773989	0.31	0.6506659776508188	0.01	1.0309364053407928	100.00000000000004	-219.95368233711136	-4.617252540802557	-472.6418380968246	0.34066597765081885
6	0.23282711927950153	2.0810730380312292	2.051865968676882	0.76	0.9906502420761251	0.01	1.1910774271001572	100.00000000000004	-234.77769806484034	-19.349573542247313	-431.4584600970601	0.23065024207612503
7	0.3222374594001762	4.041638229467063	4.048383079514338	0.51	0.7524759328667634	0.01	1.0813163887059194	100.00000000000004	-242.35853488866303	-4.617252540802557	-435.5530900972555	0.24247593286676336
8	0.16239387763088997	2.1128614328081827	2.0972206144827714	0.83	0.9909192134990649	0.01	1.2338634031931495	100.00000000000004	-259.95901013259805	-19.349573542247313	-414.5589947930721	0.16091921349906488
9	0.9850085485711894	1.4915223245062612	1.9999999997275681	0.02	1.3340936396301135	0.01	0.8532000626760794	100.00000000000004	-265.1910606503317	-19.349573542247313	-400.39023615344644	1.3140936396301135
10	0.11516661580529286	2.0953832323895987	2.144490932404267	0.88	0.9945375205309347	0.01	1.3705585897943278	100.00000000000004	-296.1899762186701	-19.349573542247313	-385.53093107535574	0.11453752053093472
11	0.8098845268265229	2.8839968011921604	2.060115836445534	0.14	0.7363945588597748	0.01	0.5643710932269956	100.00000000000004	-321.2275325270062	-19.349573542247313	-394.57577943398405	0.5963945588597748
12	0.08374316634463742	2.1642078196858043	2.19733342858964	0.91	0.9931713102423464	0.01	1.5403084990525806	100.00000000000004	-334.50467555724686	-19.349573542247313	-317.3066010546057	0.08317131024234632
